city,n,mean_error_c,median_error_c,mae_c,rmse_c,std_error_c,bias_sign,bias_magnitude_c,unit,classification,cause
"Taipei, TW",42,-1.721,-1.7,1.788,2.022,1.073,negative,1.721,C,HIGH_VARIANCE,high scatter (std 1.07°C) — model/noise error rather than a fixed station offset
"Guangzhou, CN",40,-1.585,-1.75,1.715,1.977,1.196,negative,1.585,C,HIGH_VARIANCE,high scatter (std 1.20°C) — model/noise error rather than a fixed station offset
"Munich, DE",46,-1.57,-1.5,1.622,1.909,1.099,negative,1.57,C,HIGH_VARIANCE,high scatter (std 1.10°C) — model/noise error rather than a fixed station offset
"Busan, KR",42,-1.386,-1.35,1.41,1.672,0.947,negative,1.386,C,HIGH_VARIANCE,high scatter (std 0.95°C) — model/noise error rather than a fixed station offset
"Beijing, CN",41,-1.315,-1.5,1.446,1.728,1.136,negative,1.315,C,HIGH_VARIANCE,high scatter (std 1.14°C) — model/noise error rather than a fixed station offset
"Zhengzhou, CN",31,-1.303,-1.5,1.497,1.741,1.174,negative,1.303,C,HIGH_VARIANCE,high scatter (std 1.17°C) — model/noise error rather than a fixed station offset
"Mexico City, MX",40,-1.212,-1.1,1.292,1.488,0.873,negative,1.212,C,HIGH_VARIANCE,high scatter (std 0.87°C) — model/noise error rather than a fixed station offset
"Panama City, PA",40,-1.027,-0.9,1.227,1.529,1.147,negative,1.027,C,HIGH_VARIANCE,high scatter (std 1.15°C) — model/noise error rather than a fixed station offset
"Chengdu, CN",41,-1.007,-1.4,1.695,2.004,1.754,negative,1.007,C,HIGH_VARIANCE,high scatter (std 1.75°C) — model/noise error rather than a fixed station offset
"Manila, PH",41,-1.0,-1.0,1.176,1.314,0.863,negative,1.0,C,HIGH_VARIANCE,high scatter (std 0.86°C) — model/noise error rather than a fixed station offset
"Austin, US",44,-0.9,-0.861,1.069,1.346,1.013,negative,0.9,F,HIGH_VARIANCE,high scatter (std 1.01°C) — model/noise error rather than a fixed station offset
"Warsaw, PL",44,-0.85,-0.9,0.986,1.165,0.806,negative,0.85,C,HIGH_VARIANCE,high scatter (std 0.81°C) — model/noise error rather than a fixed station offset
"Houston, US",44,-0.841,-0.722,1.005,1.358,1.079,negative,0.841,F,HIGH_VARIANCE,high scatter (std 1.08°C) — model/noise error rather than a fixed station offset
"Wellington, NZ",43,-0.84,-0.8,0.881,1.117,0.745,negative,0.84,C,STATION_BIAS,"consistent under-predicts offset (mean -0.84°C, std 0.75°C) — likely different station/source vs Polymarket"
"Amsterdam, NL",46,-0.826,-0.9,0.9,1.168,0.834,negative,0.826,C,HIGH_VARIANCE,high scatter (std 0.83°C) — model/noise error rather than a fixed station offset
"Miami, US",45,-0.823,-0.833,1.253,1.461,1.221,negative,0.823,F,HIGH_VARIANCE,high scatter (std 1.22°C) — model/noise error rather than a fixed station offset
"Milan, IT",44,-0.823,-0.85,1.005,1.198,0.88,negative,0.823,C,HIGH_VARIANCE,high scatter (std 0.88°C) — model/noise error rather than a fixed station offset
"Paris, FR",45,-0.822,-0.9,0.916,1.095,0.731,negative,0.822,C,STATION_BIAS,"consistent under-predicts offset (mean -0.82°C, std 0.73°C) — likely different station/source vs Polymarket"
"Denver, US",44,-0.76,-0.861,1.187,1.425,1.219,negative,0.76,F,HIGH_VARIANCE,high scatter (std 1.22°C) — model/noise error rather than a fixed station offset
"Seoul (Incheon), KR",42,-0.676,-0.7,0.933,1.107,0.887,negative,0.676,C,OK,within tolerance — no systematic miss cause detected
"Lucknow, IN",43,-0.672,-0.7,0.858,1.025,0.784,negative,0.672,C,OK,within tolerance — no systematic miss cause detected
"Hong Kong, HK",36,-0.644,-0.6,1.022,1.317,1.165,negative,0.644,C,HIGH_VARIANCE,high scatter (std 1.17°C) — model/noise error rather than a fixed station offset
"Jeddah, SA",43,0.626,0.6,0.844,1.077,0.887,positive,0.626,C,OK,within tolerance — no systematic miss cause detected
"Tokyo, JP",42,-0.574,-0.65,0.998,1.201,1.067,negative,0.574,C,HIGH_VARIANCE,high scatter (std 1.07°C) — model/noise error rather than a fixed station offset
"Buenos Aires, AR",44,-0.568,-0.6,0.855,1.0,0.832,negative,0.568,C,OK,within tolerance — no systematic miss cause detected
"Wuhan, CN",41,-0.539,-0.9,1.393,1.595,1.52,negative,0.539,C,HIGH_VARIANCE,high scatter (std 1.52°C) — model/noise error rather than a fixed station offset
"London, UK",45,-0.533,-0.6,0.893,1.091,0.962,negative,0.533,C,OK,within tolerance — no systematic miss cause detected
"Madrid, ES",44,-0.511,-0.5,0.73,0.899,0.748,negative,0.511,C,OK,within tolerance — no systematic miss cause detected
"Dallas, US",43,0.465,0.722,0.824,0.97,0.861,positive,0.465,F,OK,within tolerance — no systematic miss cause detected
"Istanbul, TR",46,0.424,0.5,0.824,1.001,0.917,positive,0.424,C,OK,within tolerance — no systematic miss cause detected
"Chicago, US",44,-0.386,-0.417,1.035,1.473,1.438,negative,0.386,F,HIGH_VARIANCE,high scatter (std 1.44°C) — model/noise error rather than a fixed station offset
"Moscow, RU",45,-0.384,-0.4,0.762,0.965,0.895,negative,0.384,C,OK,within tolerance — no systematic miss cause detected
"Los Angeles, US",42,-0.382,-0.333,0.877,1.267,1.222,negative,0.382,F,HIGH_VARIANCE,high scatter (std 1.22°C) — model/noise error rather than a fixed station offset
"Atlanta, US",45,-0.348,-0.333,0.909,1.179,1.139,negative,0.348,F,HIGH_VARIANCE,high scatter (std 1.14°C) — model/noise error rather than a fixed station offset
"Jinan, CN",6,0.317,0.3,0.35,0.474,0.387,positive,0.317,C,OK,within tolerance — no systematic miss cause detected
"Chongqing, CN",41,-0.295,-0.5,0.924,1.131,1.106,negative,0.295,C,HIGH_VARIANCE,high scatter (std 1.11°C) — model/noise error rather than a fixed station offset
"Cape Town, ZA",44,0.255,0.2,1.018,1.188,1.174,positive,0.255,C,HIGH_VARIANCE,high scatter (std 1.17°C) — model/noise error rather than a fixed station offset
"New York, US",45,-0.206,-0.222,0.777,0.981,0.97,negative,0.206,F,OK,within tolerance — no systematic miss cause detected
"Toronto, CA",45,0.196,0.0,0.747,1.088,1.082,positive,0.196,C,HIGH_VARIANCE,high scatter (std 1.08°C) — model/noise error rather than a fixed station offset
"Shanghai, CN",42,-0.188,-0.05,0.674,0.857,0.846,negative,0.188,C,OK,within tolerance — no systematic miss cause detected
"Kuala Lumpur, MY",42,0.174,0.25,0.66,0.832,0.824,positive,0.174,C,OK,within tolerance — no systematic miss cause detected
"Seattle, US",43,0.166,0.111,0.961,1.276,1.281,positive,0.166,F,HIGH_VARIANCE,high scatter (std 1.28°C) — model/noise error rather than a fixed station offset
"Ankara, TR",46,-0.157,-0.3,0.687,0.954,0.951,negative,0.157,C,OK,within tolerance — no systematic miss cause detected
"Shenzhen, CN",42,-0.133,-0.1,1.005,1.188,1.194,negative,0.133,C,HIGH_VARIANCE,high scatter (std 1.19°C) — model/noise error rather than a fixed station offset
"Qingdao, CN",41,0.127,0.2,0.634,0.886,0.888,positive,0.127,C,OK,within tolerance — no systematic miss cause detected
"Tel Aviv, IL",46,-0.124,-0.1,0.463,0.578,0.571,negative,0.124,C,OK,within tolerance — no systematic miss cause detected
"Singapore, SG",41,-0.117,0.0,0.683,0.935,0.94,negative,0.117,C,OK,within tolerance — no systematic miss cause detected
"Sao Paulo, BR",43,-0.112,0.0,1.284,1.597,1.612,negative,0.112,C,HIGH_VARIANCE,high scatter (std 1.61°C) — model/noise error rather than a fixed station offset
"San Francisco, US",44,0.106,-0.111,1.129,1.37,1.381,positive,0.106,F,HIGH_VARIANCE,high scatter (std 1.38°C) — model/noise error rather than a fixed station offset
"Helsinki, FI",46,-0.087,-0.25,0.691,0.837,0.842,negative,0.087,C,OK,within tolerance — no systematic miss cause detected
"Karachi, PK",43,0.056,0.0,0.66,0.827,0.835,positive,0.056,C,OK,within tolerance — no systematic miss cause detected
