city,date,predicted_mean_c,predicted_spill_c,strategy,resolved_c,resolved_unit,deviation_c,win_loss,bucket_label
"Amsterdam, NL",2026-08-11,22.1,22,mean,22.0,C,0.1,WIN,22.0°C
"Amsterdam, NL",2026-08-11,22.15,23,modifisert,22.0,C,0.15,LOSS,22.0°C
"Amsterdam, NL",2026-08-11,22.1,20,p5,22.0,C,0.1,LOSS,22.0°C
"Amsterdam, NL",2026-08-11,22.1,21,sigma,22.0,C,0.1,LOSS,22.0°C
"Ankara, TR",2026-08-11,30.6,31,mean,32.0,C,-1.4,LOSS,32.0°C
"Ankara, TR",2026-08-11,30.8,31,modifisert,32.0,C,-1.2,LOSS,32.0°C
"Ankara, TR",2026-08-11,30.6,29,p5,32.0,C,-1.4,LOSS,32.0°C
"Ankara, TR",2026-08-11,30.6,29,sigma,32.0,C,-1.4,LOSS,32.0°C
"Atlanta, US",2026-08-11,32.3,32,mean,33.61,F,-1.31,LOSS,92-93°F
"Atlanta, US",2026-08-11,32.38,34,modifisert,33.61,F,-1.23,LOSS,92-93°F
"Atlanta, US",2026-08-11,32.3,29,p5,33.61,F,-1.31,LOSS,92-93°F
"Atlanta, US",2026-08-11,32.3,30,sigma,33.61,F,-1.31,LOSS,92-93°F
"Austin, US",2026-08-11,37.2,37,mean,38.06,F,-0.86,LOSS,100-101°F
"Austin, US",2026-08-11,37.2,38,modifisert,38.06,F,-0.86,WIN,100-101°F
"Austin, US",2026-08-11,37.2,36,p5,38.06,F,-0.86,LOSS,100-101°F
"Austin, US",2026-08-11,37.2,36,sigma,38.06,F,-0.86,LOSS,100-101°F
"Beijing, CN",2026-08-11,32.9,33,mean,33.0,C,-0.1,WIN,33.0°C
"Beijing, CN",2026-08-11,32.88,33,modifisert,33.0,C,-0.12,WIN,33.0°C
"Beijing, CN",2026-08-11,32.9,31,p5,33.0,C,-0.1,LOSS,33.0°C
"Beijing, CN",2026-08-11,32.9,32,sigma,33.0,C,-0.1,LOSS,33.0°C
"Buenos Aires, AR",2026-08-11,11.1,11,mean,12.0,C,-0.9,LOSS,12.0°C
"Buenos Aires, AR",2026-08-11,11.16,12,modifisert,12.0,C,-0.84,WIN,12.0°C
"Buenos Aires, AR",2026-08-11,11.1,10,p5,12.0,C,-0.9,LOSS,12.0°C
"Buenos Aires, AR",2026-08-11,11.1,10,sigma,12.0,C,-0.9,LOSS,12.0°C
"Busan, KR",2026-08-11,29.3,29,mean,31.0,C,-1.7,LOSS,31.0°C
"Busan, KR",2026-08-11,29.47,31,modifisert,31.0,C,-1.53,WIN,31.0°C
"Busan, KR",2026-08-11,29.3,27,p5,31.0,C,-1.7,LOSS,31.0°C
"Busan, KR",2026-08-11,29.3,28,sigma,31.0,C,-1.7,LOSS,31.0°C
"Cape Town, ZA",2026-08-11,18.8,19,mean,20.0,C,-1.2,LOSS,20.0°C
"Cape Town, ZA",2026-08-11,19.1,19,modifisert,20.0,C,-0.9,LOSS,20.0°C
"Cape Town, ZA",2026-08-11,18.8,16,p5,20.0,C,-1.2,LOSS,20.0°C
"Cape Town, ZA",2026-08-11,18.8,17,sigma,20.0,C,-1.2,LOSS,20.0°C
"Chengdu, CN",2026-08-11,32.8,33,mean,35.0,C,-2.2,LOSS,35.0°C
"Chengdu, CN",2026-08-11,33.03,34,modifisert,35.0,C,-1.97,LOSS,35.0°C
"Chengdu, CN",2026-08-11,32.8,30,p5,35.0,C,-2.2,LOSS,35.0°C
"Chengdu, CN",2026-08-11,32.8,31,sigma,35.0,C,-2.2,LOSS,35.0°C
"Chicago, US",2026-08-11,27.5,28,mean,26.94,F,0.56,LOSS,80-81°F
"Chicago, US",2026-08-11,27.28,27,modifisert,26.94,F,0.34,WIN,80-81°F
"Chicago, US",2026-08-11,27.5,24,p5,26.94,F,0.56,LOSS,80-81°F
"Chicago, US",2026-08-11,27.5,26,sigma,26.94,F,0.56,LOSS,80-81°F
"Chongqing, CN",2026-08-11,34.0,34,mean,35.0,C,-1.0,LOSS,35.0°C
"Chongqing, CN",2026-08-11,34.1,36,modifisert,35.0,C,-0.9,LOSS,35.0°C
"Chongqing, CN",2026-08-11,34.0,32,p5,35.0,C,-1.0,LOSS,35.0°C
"Chongqing, CN",2026-08-11,34.0,33,sigma,35.0,C,-1.0,LOSS,35.0°C
"Dallas, US",2026-08-11,38.2,38,mean,36.94,F,1.26,LOSS,98-99°F
"Dallas, US",2026-08-11,38.05,37,modifisert,36.94,F,1.11,WIN,98-99°F
"Dallas, US",2026-08-11,38.2,37,p5,36.94,F,1.26,WIN,98-99°F
"Dallas, US",2026-08-11,38.2,37,sigma,36.94,F,1.26,WIN,98-99°F
"Denver, US",2026-08-11,34.8,35,mean,34.72,F,0.08,WIN,94-95°F
"Denver, US",2026-08-11,34.88,36,modifisert,34.72,F,0.16,LOSS,94-95°F
"Denver, US",2026-08-11,34.8,34,p5,34.72,F,0.08,LOSS,94-95°F
"Denver, US",2026-08-11,34.8,34,sigma,34.72,F,0.08,LOSS,94-95°F
"Guangzhou, CN",2026-08-11,35.1,35,mean,37.0,C,-1.9,LOSS,37.0°C
"Guangzhou, CN",2026-08-11,35.1,37,modifisert,37.0,C,-1.9,WIN,37.0°C
"Guangzhou, CN",2026-08-11,35.1,34,p5,37.0,C,-1.9,LOSS,37.0°C
"Guangzhou, CN",2026-08-11,35.1,34,sigma,37.0,C,-1.9,LOSS,37.0°C
"Helsinki, FI",2026-08-11,18.1,18,mean,18.0,C,0.1,WIN,18.0°C
"Helsinki, FI",2026-08-11,18.08,19,modifisert,18.0,C,0.08,LOSS,18.0°C
"Helsinki, FI",2026-08-11,18.1,16,p5,18.0,C,0.1,LOSS,18.0°C
"Helsinki, FI",2026-08-11,18.1,17,sigma,18.0,C,0.1,LOSS,18.0°C
"Hong Kong, HK",2026-08-11,33.9,34,mean,35.0,C,-1.1,LOSS,35.0°C
"Hong Kong, HK",2026-08-11,33.86,35,modifisert,35.0,C,-1.14,WIN,35.0°C
"Hong Kong, HK",2026-08-11,33.9,32,p5,35.0,C,-1.1,LOSS,35.0°C
"Hong Kong, HK",2026-08-11,33.9,33,sigma,35.0,C,-1.1,LOSS,35.0°C
"Houston, US",2026-08-11,33.4,33,mean,33.61,F,-0.21,LOSS,92-93°F
"Houston, US",2026-08-11,33.45,33,modifisert,33.61,F,-0.16,LOSS,92-93°F
"Houston, US",2026-08-11,33.4,32,p5,33.61,F,-0.21,LOSS,92-93°F
"Houston, US",2026-08-11,33.4,32,sigma,33.61,F,-0.21,LOSS,92-93°F
"Istanbul, TR",2026-08-11,26.5,26,mean,27.0,C,-0.5,LOSS,27.0°C
"Istanbul, TR",2026-08-11,26.6,27,modifisert,27.0,C,-0.4,WIN,27.0°C
"Istanbul, TR",2026-08-11,26.5,24,p5,27.0,C,-0.5,LOSS,27.0°C
"Istanbul, TR",2026-08-11,26.5,25,sigma,27.0,C,-0.5,LOSS,27.0°C
"Jeddah, SA",2026-08-11,39.2,39,mean,40.0,C,-0.8,LOSS,40.0°C
"Jeddah, SA",2026-08-11,39.15,39,modifisert,40.0,C,-0.85,LOSS,40.0°C
"Jeddah, SA",2026-08-11,39.2,35,p5,40.0,C,-0.8,LOSS,40.0°C
"Jeddah, SA",2026-08-11,39.2,37,sigma,40.0,C,-0.8,LOSS,40.0°C
"Jinan, CN",2026-08-11,30.8,31,mean,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-11,30.8,30,modifisert,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-11,30.8,28,p5,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-11,30.8,29,sigma,,C,,WIN,26°C or higher
"Karachi, PK",2026-08-11,32.4,32,mean,32.0,C,0.4,WIN,32.0°C
"Karachi, PK",2026-08-11,32.41,33,modifisert,32.0,C,0.41,LOSS,32.0°C
"Karachi, PK",2026-08-11,32.4,30,p5,32.0,C,0.4,LOSS,32.0°C
"Karachi, PK",2026-08-11,32.4,31,sigma,32.0,C,0.4,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,31.4,31,mean,32.0,C,-0.6,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,31.57,33,modifisert,32.0,C,-0.43,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,31.4,30,p5,32.0,C,-0.6,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,31.4,30,sigma,32.0,C,-0.6,LOSS,32.0°C
"London, UK",2026-08-11,24.5,24,mean,24.0,C,0.5,WIN,24.0°C
"London, UK",2026-08-11,24.45,25,modifisert,24.0,C,0.45,LOSS,24.0°C
"London, UK",2026-08-11,24.5,23,p5,24.0,C,0.5,LOSS,24.0°C
"London, UK",2026-08-11,24.5,24,sigma,24.0,C,0.5,WIN,24.0°C
"Los Angeles, US",2026-08-11,27.4,27,mean,26.94,F,0.46,WIN,80-81°F
"Los Angeles, US",2026-08-11,27.19,25,modifisert,26.94,F,0.25,LOSS,80-81°F
